Geo_FIPS,year,pediatric_population,NumberED_VisitsAge0to17,NumberLowAcuityED_VisitsAge0to17,NumberAsthmaRelatedED_Visits,NumberOfInjuryRelatedVisits,NumberAcuteRespiratoryTractInfectionRelatedED_VisitsAge0to17,AllPrimaryCarePatientsAge0to17,WellChildVisitsInPastYearAge0to17,AsthmaDiagnosisAge0to17,ed_visit_rate_per_1000,asthma_ed_rate,injury_rate,low_acuity_ratio,primary_care_utilization
420031207002,2018,278,80.0,49.0,13.0,2.0,22.0,46,23,4.0,287.76978417266184,46.76258992805755,7.194244604316546,0.6125,0.16546762589928057
420031207002,2019,278,94.0,69.0,16.0,3.0,10.0,38,24,3.0,338.1294964028777,57.55395683453237,10.79136690647482,0.7340425531914894,0.1366906474820144
420031208001,2016,149,131.0,72.0,38.0,1.0,26.0,76,69,17.0,879.1946308724832,255.03355704697987,6.7114093959731544,0.549618320610687,0.5100671140939598
420031208001,2018,149,114.0,67.0,39.0,1.0,21.0,93,74,17.0,765.1006711409397,261.744966442953,6.7114093959731544,0.5877192982456141,0.6241610738255033
420031301001,2018,255,242.0,136.0,44.0,2.0,33.0,135,84,23.0,949.0196078431372,172.54901960784315,7.8431372549019605,0.5619834710743802,0.5294117647058824
420031301001,2019,255,228.0,156.0,38.0,1.0,31.0,121,74,21.0,894.1176470588235,149.01960784313727,3.9215686274509802,0.6842105263157895,0.4745098039215686
420031517001,2018,144,48.0,19.0,3.0,1.0,6.0,87,73,11.0,333.3333333333333,20.833333333333332,6.944444444444445,0.3958333333333333,0.6041666666666666
420031517004,2016,103,27.0,14.0,1.0,3.0,3.0,52,41,8.0,262.13592233009706,9.70873786407767,29.12621359223301,0.5185185185185185,0.5048543689320388
420031517006,2017,401,45.0,18.0,11.0,1.0,3.0,83,77,8.0,112.21945137157107,27.43142144638404,2.493765586034913,0.4,0.20698254364089774
420031517006,2018,401,47.0,27.0,1.0,1.0,3.0,86,66,6.0,117.2069825436409,2.493765586034913,2.493765586034913,0.574468085106383,0.2144638403990025
420031517006,2019,401,41.0,27.0,4.0,1.0,1.0,81,76,6.0,102.24438902743142,9.975062344139651,2.493765586034913,0.6585365853658537,0.20199501246882792
420031609002,2018,156,35.0,14.0,8.0,1.0,1.0,50,44,8.0,224.35897435897436,51.282051282051285,6.410256410256411,0.4,0.32051282051282054
420031609002,2019,156,31.0,15.0,10.0,1.0,5.0,56,49,9.0,198.71794871794873,64.1025641025641,6.410256410256411,0.4838709677419355,0.358974358974359
420031803001,2016,221,156.0,66.0,52.0,1.0,28.0,112,89,20.0,705.8823529411765,235.2941176470588,4.524886877828054,0.4230769230769231,0.5067873303167421
420031803001,2017,221,139.0,49.0,35.0,1.0,15.0,112,81,19.0,628.9592760180996,158.3710407239819,4.524886877828054,0.35251798561151076,0.5067873303167421
420031803001,2019,221,139.0,73.0,26.0,1.0,20.0,110,74,17.0,628.9592760180996,117.6470588235294,4.524886877828054,0.5251798561151079,0.497737556561086
420031803002,2017,109,135.0,34.0,52.0,4.0,19.0,68,46,9.0,1238.532110091743,477.0642201834862,36.69724770642202,0.2518518518518518,0.6238532110091743
420031803002,2018,109,117.0,37.0,45.0,1.0,11.0,69,47,9.0,1073.394495412844,412.8440366972477,9.174311926605505,0.3162393162393162,0.6330275229357798
420031803002,2019,109,111.0,49.0,25.0,2.0,17.0,69,44,9.0,1018.348623853211,229.3577981651376,18.34862385321101,0.44144144144144143,0.6330275229357798
420031803003,2018,159,104.0,49.0,34.0,2.0,17.0,83,67,14.0,654.0880503144654,213.83647798742138,12.578616352201259,0.47115384615384615,0.5220125786163522
420031807002,2017,166,45.0,19.0,11.0,1.0,11.0,37,26,6.0,271.0843373493976,66.26506024096386,6.024096385542169,0.4222222222222222,0.22289156626506024
420031911001,2017,164,29.0,9.0,2.0,1.0,2.0,33,25,7.0,176.82926829268294,12.195121951219512,6.097560975609756,0.3103448275862069,0.20121951219512196
420031911001,2018,164,38.0,16.0,4.0,5.0,4.0,39,32,8.0,231.70731707317074,24.390243902439025,30.48780487804878,0.42105263157894735,0.23780487804878048
420031914001,2016,192,54.0,14.0,12.0,1.0,6.0,37,31,6.0,281.25,62.5,5.208333333333333,0.25925925925925924,0.19270833333333334
420031914001,2017,192,50.0,21.0,4.0,2.0,12.0,39,27,5.0,260.4166666666667,20.833333333333332,10.416666666666666,0.42,0.203125
420031915002,2018,179,44.0,32.0,2.0,4.0,7.0,32,19,4.0,245.81005586592178,11.1731843575419,22.3463687150838,0.7272727272727273,0.1787709497206704
420031915002,2019,179,38.0,17.0,1.0,1.0,5.0,32,21,2.0,212.2905027932961,5.58659217877095,5.58659217877095,0.4473684210526316,0.1787709497206704
420031916002,2017,204,78.0,36.0,7.0,1.0,16.0,52,45,7.0,382.3529411764706,34.31372549019608,4.901960784313726,0.46153846153846156,0.2549019607843137
420031916002,2018,204,69.0,39.0,13.0,1.0,13.0,60,47,7.0,338.2352941176471,63.72549019607843,4.901960784313726,0.5652173913043478,0.29411764705882354
420031916002,2019,204,53.0,28.0,9.0,1.0,5.0,58,49,6.0,259.80392156862746,44.11764705882353,4.901960784313726,0.5283018867924528,0.28431372549019607
420031916003,2017,131,72.0,33.0,14.0,1.0,14.0,85,66,6.0,549.6183206106871,106.87022900763358,7.633587786259542,0.4583333333333333,0.648854961832061
